case,current_status,aor_date,stream,dependents,province,nationality,residence,visa_office,med_passed_date,add_docs_request_date,rprf_paid_date,ss_start_date,final_decision,final_decision_date,state
79313,e-APR AOR,2019-08-06,CEC,0,None,India,Canada,Unspecified,Pending,None,2019-08-06,None,None,Pending,Active
79299,e-APR AOR,2019-08-06,FSW-Outland,0,None,Philippines,Philippines,Unspecified,Pending,None,2019-08-06,None,None,Pending,Active
79242,e-APR AOR,2019-08-06,PNP-Outland,0,Ontario,Iran,Iran,Unspecified,Pending,None,2019-08-06,None,None,Pending,Active
79260,e-APR AOR,2019-08-05,FSW-Outland,2,None,India,India,Unspecified,Pending,None,2019-08-05,None,None,Pending,Active
79237,e-APR AOR,2019-08-05,CEC,0,None,India,Canada,Unspecified,Pending,None,2019-08-05,None,None,Pending,Active
79226,e-APR AOR,2019-08-05,FSW-Outland,0,None,India,UAE,Unspecified,Pending,None,2019-08-05,None,None,Pending,Active
79145,e-APR AOR,2019-08-03,FSW-Outland,1,None,Nigeria,Nigeria,Unspecified,Pending,None,2019-08-03,None,None,Pending,Active
79186,e-APR AOR,2019-08-03,FSW-Outland,0,None,India,USA,Unspecified,Pending,None,2019-08-03,None,None,Pending,Active
79189,e-APR AOR,2019-08-02,CEC,0,None,India,Canada,Unspecified,Pending,None,2019-08-02,None,None,Pending,Active
79168,e-APR AOR,2019-08-02,FSW-Outland,2,None,India,Saudi Arabia,Unspecified,Pending,None,2019-08-02,None,None,Pending,Active
79144,e-APR AOR,2019-08-02,FSW-Outland,0,None,India,USA,Unspecified,Pending,None,2019-08-01,None,None,Pending,Active
79024,e-APR AOR,2019-08-02,CEC,1,None,India,Canada,Unspecified,Pending,None,2019-08-01,None,None,Pending,Active
79048,e-APR AOR,2019-08-02,FSW-Outland,1,None,Egypt,Egypt,Unspecified,Pending,None,2019-08-02,None,None,Pending,Active
79002,e-APR AOR,2019-08-01,PNP-Outland,3,Ontario,Lebanon,Lebanon,Unspecified,Pending,None,2019-08-01,None,None,Pending,Active
